v(m/s),w(m),d(m),tr(s),kappa,theta(rad),Risk_R
7.179,0.589,1.45,1.479,0.938,0.229928,0.5822
2.32,0.659,1.626,1.142,0.622,0.028851,0.4081
5.415,0.691,1.729,1.069,0.518,0.275056,0.5714
2.528,0.842,1.16,0.873,0.549,0.357362,0.9026
7.298,0.765,1.068,0.679,0.388,0.343224,0.9474
2.318,0.729,1.67,1.369,0.614,0.240491,0.4761
2.616,0.751,1.621,0.594,0.595,0.439215,0.5697
9.017,0.623,1.351,0.531,0.371,0.477062,0.8587
8.564,0.778,0.849,1.312,0.607,0.179278,1.0
6.372,0.577,1.557,0.999,0.431,0.098558,0.5905
3.474,0.567,1.388,1.308,0.312,0.025659,0.6274
6.582,0.796,1.127,0.72,0.717,0.143578,0.8294
2.213,0.771,1.426,0.997,0.819,0.35355,0.5793
3.647,0.656,0.926,0.456,0.773,0.449562,0.9799
9.702,0.739,0.984,0.427,0.869,0.303036,0.9507
6.946,0.784,1.503,1.301,0.339,0.391401,0.8193
8.807,0.636,1.44,0.677,0.971,0.017501,0.5802
6.638,0.6,1.512,0.511,0.465,0.258852,0.6504
9.319,0.614,0.944,1.211,0.65,0.47741,0.9704
3.173,0.744,1.033,0.488,0.778,0.310853,0.8756
8.039,0.643,1.248,0.787,0.989,0.153021,0.6834
4.359,0.656,1.365,0.603,0.941,0.139113,0.5225
9.167,0.581,1.457,1.388,0.418,0.507015,0.8526
5.623,0.834,1.477,0.662,0.432,0.159035,0.716
2.744,0.593,0.905,0.808,0.857,0.074028,0.704
3.043,0.743,0.997,0.417,0.417,0.483665,1.0
8.572,0.656,1.456,0.945,0.774,0.357446,0.7044
7.03,0.63,0.839,0.847,0.924,0.298188,0.9547
8.659,0.847,0.964,1.13,0.772,0.513103,1.0
9.885,0.756,1.044,1.258,0.375,0.408773,0.9868
9.282,0.665,1.431,0.816,0.606,0.16251,0.693
8.097,0.831,1.741,0.51,0.912,0.386118,0.6525
4.023,0.57,1.068,1.395,0.743,0.377543,0.766
4.057,0.766,0.828,0.75,0.739,0.076496,0.972
8.584,0.621,1.452,0.786,0.717,0.056261,0.6065
2.135,0.823,1.07,1.284,1.0,0.110705,0.7428
4.121,0.749,1.765,1.399,0.652,0.416319,0.5605
3.086,0.843,1.764,0.496,0.51,0.052441,0.4427
4.174,0.795,1.178,0.406,0.54,0.513851,0.9616
7.037,0.675,0.967,1.483,0.875,0.147381,0.8477
2.561,0.567,0.92,0.997,0.95,0.260094,0.7404
8.744,0.684,1.509,1.178,0.422,0.189132,0.7498
7.098,0.571,1.162,0.942,0.997,0.248465,0.6998
8.528,0.68,1.596,1.014,0.921,0.215169,0.5964
6.834,0.739,1.217,0.473,0.365,0.008729,0.7887
8.988,0.621,1.012,1.183,0.524,0.264964,0.8869
3.3,0.838,1.652,1.337,0.585,0.399171,0.6277
3.151,0.553,0.82,1.004,0.619,0.271232,0.8834
2.06,0.677,1.518,0.831,0.813,0.122008,0.4028
8.505,0.727,1.011,0.584,0.74,0.434555,0.9786
5.325,0.627,1.667,1.103,0.614,0.255464,0.5365
3.634,0.738,1.159,1.495,0.636,0.254409,0.7733
6.527,0.825,1.601,0.841,0.803,0.306952,0.647
5.939,0.608,1.264,0.595,0.94,0.175619,0.613
9.618,0.71,1.432,0.952,0.391,0.19678,0.8272
2.793,0.737,1.247,1.234,0.454,0.086167,0.6864
5.251,0.828,1.51,0.803,0.662,0.044094,0.5851
9.877,0.75,1.085,1.003,0.377,0.505711,0.9938
3.398,0.744,1.045,1.161,0.844,0.352602,0.8904
6.916,0.818,0.879,0.697,0.474,0.517323,1.0
5.115,0.77,1.485,0.554,0.467,0.14728,0.6573
5.289,0.62,0.82,1.355,0.976,0.178846,0.8971
4.708,0.552,1.48,1.291,0.403,0.083601,0.5774
8.321,0.735,0.845,1.047,0.516,0.193064,0.9879
8.158,0.793,1.2,1.437,0.585,0.404132,0.914
5.871,0.819,1.708,0.405,0.956,0.432249,0.613
8.33,0.61,1.605,1.32,0.502,0.498602,0.7323
2.399,0.595,1.338,0.991,0.752,0.008885,0.4327
9.683,0.563,0.943,0.317,0.697,0.488134,0.9501
7.328,0.797,0.813,0.95,0.622,0.261259,1.0
2.578,0.755,1.303,1.218,0.64,0.078216,0.5823
