v(m/s),w(m),d(m),tr(s),kappa,theta(rad),Risk_R
8.527,0.617,1.024,0.944,0.715,0.303732,0.8656
2.732,0.813,1.066,0.455,0.922,0.500378,1.0
8.897,0.793,1.455,0.961,0.361,0.213866,0.8324
4.982,0.628,1.523,0.895,0.357,0.115288,0.6272
7.466,0.573,1.651,0.894,0.636,0.310184,0.5891
8.597,0.654,1.478,0.979,0.487,0.46005,0.7815
8.379,0.748,1.651,1.341,0.796,0.438259,0.693
7.58,0.754,1.419,1.203,0.411,0.461223,0.8469
8.975,0.559,1.626,0.455,0.535,0.3893,0.6687
3.286,0.795,1.632,0.909,0.304,0.150293,0.6562
6.935,0.844,1.432,0.612,0.744,0.282736,0.7442
8.239,0.582,1.561,0.95,0.974,0.179004,0.553
7.061,0.83,0.903,1.425,0.782,0.035519,0.9605
4.408,0.762,0.867,0.999,0.542,0.325111,1.0
2.366,0.811,1.773,1.463,0.825,0.068113,0.3933
8.066,0.557,0.822,0.688,0.642,0.403384,0.9691
7.466,0.684,1.074,1.497,0.598,0.236346,0.8515
3.309,0.788,1.494,0.565,0.358,0.356309,0.7411
7.236,0.632,1.751,0.481,0.603,0.494076,0.6429
5.358,0.742,1.198,0.629,0.989,0.214327,0.7223
9.153,0.619,1.013,0.337,0.756,0.19296,0.8404
8.915,0.692,1.768,0.523,0.908,0.406625,0.621
8.167,0.803,1.561,1.051,0.392,0.017031,0.7131
9.367,0.735,1.597,0.878,0.382,0.065547,0.7533
7.485,0.679,1.001,0.89,0.345,0.30472,0.9342
4.152,0.789,1.11,0.846,0.308,0.037933,0.854
5.14,0.694,1.4,0.65,0.786,0.450359,0.7083
8.239,0.562,1.281,0.426,0.469,0.516615,0.8312
3.14,0.7,1.418,1.143,0.692,0.005116,0.4811
4.612,0.705,0.888,0.721,0.323,0.041144,0.9194
5.175,0.59,1.368,1.127,0.86,0.104798,0.5236
3.34,0.581,1.436,1.148,0.322,0.4902,0.7495
2.416,0.712,1.509,1.345,0.8,0.419784,0.5544
4.716,0.794,0.88,1.374,0.683,0.427936,1.0
5.619,0.743,1.326,1.178,0.357,0.0316,0.7359
3.977,0.598,1.672,0.563,0.983,0.176398,0.4187
3.457,0.787,1.459,0.898,0.689,0.376573,0.662
3.828,0.849,1.775,1.08,0.44,0.356167,0.6302
2.578,0.559,1.058,0.855,0.908,0.380745,0.6937
7.942,0.678,1.146,0.745,0.991,0.021001,0.7099
8.936,0.724,1.239,1.17,0.641,0.457323,0.8858
9.206,0.677,1.077,1.011,0.939,0.110302,0.8014
6.984,0.739,1.533,0.458,0.801,0.475968,0.7236
3.437,0.621,1.771,0.517,0.898,0.257756,0.4054
3.978,0.811,1.245,0.918,0.551,0.310468,0.8174
3.308,0.667,1.769,0.61,0.76,0.170269,0.4097
8.188,0.589,1.77,0.845,0.465,0.038483,0.547
3.358,0.706,1.137,1.295,0.602,0.130226,0.7135
6.937,0.762,0.967,0.501,0.326,0.385579,1.0
7.31,0.692,1.644,1.267,0.71,0.454626,0.6678
3.647,0.584,1.07,0.369,0.672,0.490406,0.8395
2.315,0.587,1.252,1.421,0.521,0.265588,0.625
2.333,0.595,1.787,1.458,0.303,0.498367,0.6334
7.113,0.81,1.255,0.919,0.642,0.349169,0.8599
3.117,0.559,1.108,1.146,0.441,0.352608,0.775
9.759,0.578,1.473,0.833,0.908,0.092755,0.5989
7.541,0.801,1.745,1.12,0.648,0.323504,0.6389
8.951,0.721,0.83,1.417,0.783,0.354222,1.0
3.725,0.748,1.194,1.081,0.375,0.344447,0.8611
9.995,0.564,1.777,0.788,0.91,0.409656,0.6057
6.536,0.772,1.679,0.785,0.529,0.349551,0.6645
8.463,0.779,1.598,0.823,0.872,0.062941,0.5889
6.356,0.552,1.125,0.74,0.577,0.364146,0.7907
5.108,0.685,1.038,0.748,0.459,0.038325,0.8044
6.828,0.75,1.419,0.856,0.566,0.45204,0.8001
6.153,0.694,0.826,0.709,0.566,0.208823,0.9766
